Customer ID	Gender	Birth Date	Married	Dependents	Number of Dependents	Country	City	Number of Referrals	Tenure in Months	Avg Monthly Long Distance Charges	Internet Service	Internet Type	Avg Monthly GB Download	Premium Tech Support	Streaming Movies	Streaming Music	Contract	Paperless Billing	Payment Method	Monthly Charge	Total Refunds	Satisfaction Score
4184-TJFAN	Female	1956/05/13	Yes	No	0	United States	Berkeley	1	3	25.77	Yes	Fiber Optic	2	Yes	No	No	Month-to-Month	Yes	Mailed Check	88.3	0.0	1
4145-UQXUQ	Female	1953/06/19	No	No	0	United States	Berkeley	0	8	42.93	Yes	Fiber Optic	9	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	92.1	0.0	1
1236-WFCDV	Male	1950/02/01	No	No	0	United States	Greenbrae	0	14	11.31	Yes	Fiber Optic	24	No	Yes	No	Month-to-Month	No	Credit Card	90.45	0.0	3
1271-SJBGZ	Male	1947/08/31	No	No	0	United States	Forest Knolls	0	12	0.0	Yes	DSL	10	Yes	Yes	No	Month-to-Month	Yes	Bank Withdrawal	43.65	0.0	1
4441-NIHPT	Female	1951/11/28	No	No	0	United States	Freedom	0	13	40.37	Yes	Fiber Optic	21	No	No	No	Month-to-Month	Yes	Bank Withdrawal	74.3	0.0	1
8999-BOHSE	Female	1956/02/25	No	No	0	United States	Gilroy	0	11	3.96	Yes	Fiber Optic	27	No	Yes	No	Month-to-Month	No	Bank Withdrawal	89.7	0.0	2
7029-RPUAV	Male	1950/11/01	Yes	No	0	United States	Los Gatos	1	17	28.18	Yes	Cable	16	No	Yes	No	Month-to-Month	Yes	Credit Card	100.45	0.0	3
8111-SLLHI	Male	1959/01/23	Yes	No	0	United States	San Jose	1	39	33.25	Yes	Fiber Optic	26	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	105.65	0.0	3
5293-WXJAK	Female	1951/03/06	Yes	No	0	United States	San Jose	5	11	17.25	Yes	Fiber Optic	27	Yes	Yes	No	Month-to-Month	Yes	Bank Withdrawal	104.05	0.0	3
4086-YQSNZ	Female	1950/12/01	Yes	No	0	United States	Glencoe	1	3	3.29	Yes	Fiber Optic	9	No	No	No	Month-to-Month	Yes	Bank Withdrawal	80.4	0.0	2
8399-YNDCH	Male	1944/09/17	No	No	0	United States	Columbia	0	21	34.62	Yes	DSL	14	No	No	No	Month-to-Month	Yes	Bank Withdrawal	60.05	0.0	1
5565-FILXA	Female	1948/10/28	No	No	0	United States	Escondido	0	16	38.75	Yes	Fiber Optic	16	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	96.15	0.0	2
4187-CINZD	Female	1951/11/29	No	No	0	United States	Lakewood	0	46	6.13	Yes	Fiber Optic	30	No	Yes	No	One Year	No	Credit Card	95.25	0.0	2
6818-WOBHJ	Female	1954/05/08	Yes	No	0	United States	Fulton	1	68	24.13	Yes	Fiber Optic	24	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	89.6	0.0	1
9134-CEQMF	Male	1949/06/24	Yes	No	0	United States	Nice	1	7	13.63	Yes	Fiber Optic	27	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	89.5	0.0	2
8519-IMDHU	Male	1950/10/31	Yes	No	0	United States	Alderpoint	1	15	45.25	Yes	Cable	22	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	85.6	0.0	1
3372-KWFBM	Male	1948/06/27	No	No	0	United States	Bayside	0	16	19.18	Yes	Fiber Optic	22	No	No	No	Month-to-Month	Yes	Bank Withdrawal	86.6	0.0	3
7206-GZCDC	Female	1949/11/02	No	No	0	United States	Loleta	0	1	29.68	Yes	Cable	18	No	No	No	Month-to-Month	Yes	Bank Withdrawal	69.25	0.0	2
1768-ZAIFU	Female	1950/10/18	No	No	0	United States	Rio Dell	0	1	0.0	Yes	Cable	5	No	No	No	Month-to-Month	Yes	Bank Withdrawal	25.2	0.0	1
3793-MMFUH	Female	1951/01/22	No	No	0	United States	Davis	0	13	19.03	Yes	Fiber Optic	24	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	95.05	0.0	1
6567-HOOPW	Female	1955/07/11	No	No	0	United States	Folsom	0	1	20.06	Yes	Fiber Optic	24	No	No	No	Month-to-Month	Yes	Bank Withdrawal	79.2	0.0	3
8621-MNIHH	Female	1949/06/14	Yes	No	0	United States	Madison	1	34	2.88	Yes	Fiber Optic	4	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	94.25	0.0	1
5419-CONWX	Female	1959/12/02	No	No	0	United States	Pleasant Grove	0	4	12.68	Yes	Fiber Optic	10	No	Yes	Yes	Month-to-Month	Yes	Credit Card	99.8	0.0	1
7024-OHCCK	Female	1947/03/12	No	No	0	United States	Sheridan	0	2	19.27	Yes	Fiber Optic	18	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	93.85	0.0	3
5357-TZHPP	Male	1957/05/28	No	No	0	United States	Wheatland	0	9	30.8	Yes	Fiber Optic	18	No	Yes	No	Month-to-Month	Yes	Credit Card	84.4	0.0	2
0506-LVNGN	Female	1946/01/13	No	No	0	United States	Rancho Cordova	0	5	42.33	Yes	Fiber Optic	9	No	No	No	Month-to-Month	Yes	Credit Card	75.55	0.0	1
9809-IMGCQ	Male	1959/12/14	No	No	0	United States	Canyon Dam	0	22	40.18	Yes	Fiber Optic	8	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	96.7	0.0	1
3254-YRILK	Male	1950/06/19	No	No	0	United States	Dobbins	0	19	39.97	Yes	Fiber Optic	9	No	No	No	Month-to-Month	Yes	Bank Withdrawal	88.2	0.0	1
0529-ONKER	Male	1954/03/20	No	No	0	United States	Forest Ranch	0	15	46.38	Yes	Fiber Optic	19	No	No	No	Month-to-Month	No	Bank Withdrawal	75.65	0.0	3
5240-IJOQT	Male	1955/02/16	No	No	0	United States	Grass Valley	0	1	11.34	Yes	Fiber Optic	20	No	No	No	Month-to-Month	Yes	Bank Withdrawal	74.7	0.0	1
0661-XEYAN	Female	1948/07/16	No	No	0	United States	Nevada City	0	1	0.0	Yes	DSL	26	No	No	No	Month-to-Month	Yes	Mailed Check	25.8	0.0	1
2660-EMUBI	Male	1953/04/10	No	No	0	United States	Escondido	0	10	41.37	Yes	Fiber Optic	14	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	95.35	0.0	1
7675-OZCZG	Female	1948/09/15	No	No	0	United States	Fallbrook	0	3	30.14	Yes	DSL	6	No	No	No	Month-to-Month	No	Bank Withdrawal	45.0	0.0	3
9391-EOYLI	Male	1947/02/26	Yes	No	0	United States	Lewiston	1	12	6.97	Yes	Fiber Optic	19	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	80.45	0.0	2
2761-OCIAX	Male	1950/11/24	No	No	0	United States	Palo Cedro	0	2	6.51	Yes	Fiber Optic	11	No	No	No	Month-to-Month	Yes	Bank Withdrawal	74.7	0.0	2
3068-OMWZA	Male	1947/10/08	No	No	0	United States	Round Mountain	0	1	49.6	Yes	Fiber Optic	20	No	No	No	Month-to-Month	Yes	Bank Withdrawal	88.8	0.0	1
4154-AQUGT	Male	1948/05/31	Yes	No	0	United States	San Diego	1	13	1.47	Yes	Fiber Optic	5	Yes	Yes	No	Month-to-Month	Yes	Bank Withdrawal	89.05	0.0	1
8017-LXHFA	Female	1947/08/29	No	No	0	United States	San Diego	0	23	31.17	Yes	Fiber Optic	23	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	94.75	0.0	2
4248-QPAVC	Female	1944/08/15	Yes	No	0	United States	San Diego	1	17	36.82	Yes	Fiber Optic	6	No	No	No	Month-to-Month	Yes	Bank Withdrawal	85.35	0.0	1
4690-LLKUA	Male	1956/10/17	No	No	0	United States	San Diego	0	17	40.93	Yes	DSL	2	No	No	No	Month-to-Month	Yes	Bank Withdrawal	45.05	0.0	1
9490-DFPMD	Female	1945/10/17	No	No	0	United States	San Diego	0	42	9.53	Yes	Fiber Optic	17	No	No	No	Month-to-Month	Yes	Bank Withdrawal	84.65	0.0	2
8580-AECUZ	Male	1959/04/05	No	No	0	United States	San Diego	0	1	42.3	Yes	Fiber Optic	16	No	No	No	Month-to-Month	Yes	Bank Withdrawal	79.1	0.0	3
5047-LHVLY	Male	1956/04/26	No	No	0	United States	San Diego	0	1	39.78	Yes	Cable	12	No	No	No	Month-to-Month	Yes	Mailed Check	50.15	0.0	2
8375-DKEBR	Female	1952/11/17	No	No	0	United States	Hermosa Beach	0	1	34.51	Yes	Fiber Optic	15	No	No	No	Month-to-Month	Yes	Bank Withdrawal	69.6	0.0	1
7279-BUYWN	Female	1958/11/02	No	No	0	United States	Buena Park	0	41	27.95	Yes	Fiber Optic	23	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	113.2	0.0	1
7156-MHUGY	Male	1956/05/05	No	No	0	United States	Buena Park	0	13	26.11	Yes	Fiber Optic	4	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	90.5	29.84	1
9606-PBKBQ	Male	1955/04/28	Yes	No	0	United States	Long Beach	1	32	5.99	Yes	Fiber Optic	23	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	85.0	49.57	1
3536-IQCTX	Male	1948/12/22	Yes	No	0	United States	South Pasadena	1	32	49.6	Yes	Fiber Optic	10	No	Yes	Yes	Month-to-Month	No	Bank Withdrawal	85.3	0.0	1
3132-TVFDZ	Male	1954/11/08	Yes	No	0	United States	Glendale	1	57	0.0	Yes	Cable	3	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	44.85	12.07	2
8080-DDEMJ	Male	1953/09/26	No	No	0	United States	Glendale	0	1	15.28	Yes	Cable	14	No	No	No	Month-to-Month	No	Bank Withdrawal	45.1	0.0	2
6702-OHFWR	Male	1949/07/28	No	No	0	United States	Reseda	0	1	0.0	Yes	DSL	26	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	43.3	0.0	3
4510-PYUSH	Female	1957/09/13	No	No	0	United States	Sylmar	0	38	26.1	Yes	DSL	27	No	No	No	Month-to-Month	Yes	Credit Card	57.15	0.0	1
8840-DQLGN	Female	1959/09/24	Yes	No	0	United States	Burbank	1	35	15.98	Yes	Cable	22	Yes	No	No	Month-to-Month	Yes	Bank Withdrawal	100.5	0.0	1
4193-ORFCL	Female	1944/06/28	No	No	0	United States	North Hollywood	0	1	15.24	Yes	DSL	14	No	No	No	Month-to-Month	No	Credit Card	45.1	0.0	1
7776-QWNFX	Male	1953/11/28	Yes	No	0	United States	Chino	1	30	4.65	Yes	DSL	29	No	No	No	Month-to-Month	Yes	Bank Withdrawal	50.4	0.0	3
6689-TCZHQ	Female	1954/04/07	No	No	0	United States	Claremont	0	5	12.27	Yes	Fiber Optic	20	No	Yes	No	Month-to-Month	No	Bank Withdrawal	78.95	0.0	3
9497-QCMMS	Male	1951/09/05	No	No	0	United States	San Diego	0	1	30.17	Yes	Fiber Optic	6	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	93.55	0.0	1
3424-NMNBO	Male	1946/02/12	Yes	No	0	United States	San Diego	1	58	49.38	Yes	Fiber Optic	19	No	Yes	No	One Year	Yes	Bank Withdrawal	108.85	0.0	1
4514-GFCFI	Female	1948/08/18	No	No	0	United States	San Diego	0	16	17.51	Yes	Fiber Optic	7	No	No	No	Month-to-Month	Yes	Bank Withdrawal	84.75	0.0	2
8000-REIQB	Female	1951/11/19	No	No	0	United States	San Diego	0	1	22.5	Yes	Fiber Optic	27	No	No	No	Month-to-Month	Yes	Bank Withdrawal	69.95	0.0	2
4795-KTRTH	Female	1956/04/11	Yes	No	0	United States	San Diego	1	5	47.28	Yes	Fiber Optic	11	No	No	No	Month-to-Month	Yes	Bank Withdrawal	81.0	40.64	1
9961-JBNMK	Male	1945/12/05	No	No	0	United States	Desert Center	0	21	42.27	Yes	Fiber Optic	7	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	96.8	10.2	1
6179-GJPSO	Female	1957/05/25	No	No	0	United States	Escondido	0	43	31.83	Yes	Fiber Optic	10	Yes	Yes	No	Month-to-Month	Yes	Credit Card	108.15	0.0	1
8290-YWKHZ	Female	1955/08/20	Yes	No	0	United States	Fallbrook	1	32	33.74	Yes	Fiber Optic	6	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	93.2	17.88	3
8051-HJRLT	Female	1952/05/21	No	No	0	United States	Wrightwood	0	1	18.2	Yes	Fiber Optic	13	No	No	No	Month-to-Month	Yes	Bank Withdrawal	70.55	0.0	3
4021-RQSNY	Male	1949/11/12	Yes	No	0	United States	Moreno Valley	1	29	25.78	Yes	Fiber Optic	28	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	98.5	37.55	3
9061-TIHDA	Male	1957/10/30	Yes	No	0	United States	Murrieta	1	13	31.7	Yes	Cable	6	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	95.25	48.09	1
8699-ASUFO	Male	1952/08/08	Yes	No	0	United States	Nuevo	1	7	8.92	Yes	Fiber Optic	17	No	No	No	Month-to-Month	Yes	Credit Card	74.4	32.46	3
4695-WJZUE	Female	1956/05/22	No	No	0	United States	Irvine	0	2	21.57	Yes	Fiber Optic	28	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	88.55	0.0	1
3988-RQIXO	Female	1956/10/11	No	No	0	United States	Corona Del Mar	0	1	43.61	Yes	Fiber Optic	2	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	91.3	0.0	3
5931-FLJJF	Male	1949/10/06	Yes	No	0	United States	Midway City	1	7	16.05	Yes	Fiber Optic	22	No	No	No	Month-to-Month	Yes	Credit Card	70.1	20.23	2
3207-OYBWH	Male	1950/09/05	Yes	No	0	United States	Newport Beach	1	57	49.91	Yes	Fiber Optic	21	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	95.25	12.59	2
7216-EWTRS	Female	1946/11/20	Yes	No	0	United States	Newport Beach	4	1	17.35	Yes	Fiber Optic	23	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	100.8	0.0	1
2528-HFYZX	Male	1958/03/02	Yes	No	0	United States	Santa Ana	2	17	1.05	Yes	Fiber Optic	8	No	No	No	Month-to-Month	Yes	Bank Withdrawal	76.45	0.0	1
4140-MUHUG	Female	1951/10/01	No	No	0	United States	Oak View	0	3	18.38	Yes	Fiber Optic	20	No	No	No	Month-to-Month	Yes	Bank Withdrawal	86.85	0.0	2
1587-FKLZB	Male	1945/10/04	Yes	No	0	United States	Santa Barbara	1	66	28.86	Yes	Fiber Optic	25	No	Yes	No	Month-to-Month	Yes	Credit Card	99.5	0.0	1
5440-FLBQG	Male	1955/12/10	Yes	No	0	United States	Santa Barbara	1	69	48.88	Yes	Fiber Optic	4	Yes	Yes	No	Two Year	Yes	Bank Withdrawal	108.4	0.0	3
2774-LVQUS	Female	1959/01/10	Yes	No	0	United States	Temecula	2	15	44.13	Yes	Fiber Optic	3	Yes	No	No	Month-to-Month	Yes	Bank Withdrawal	83.05	0.0	3
4612-THJBS	Female	1956/01/07	No	No	0	United States	Terra Bella	0	56	34.58	Yes	Fiber Optic	4	No	Yes	No	One Year	Yes	Bank Withdrawal	104.75	0.0	3
